3115,1580
3115,1536
3113,1508
3117,1472
3121,1438
3115,1404
3119,1360
3099,1336
3099,1302
3101,1264
3063,1260
3035,1258
2997,1276
2971,1286
2937,1242
2927,1202
2957,1170
2999,1174
3031,1190
3073,1192
3093,1190
3115,1162
3099,1128
3119,1086
3115,1058
3115,1024
3121,986
3117,944
3115,902
3103,854
3119,804
3121,776
3119,744
3115,706
3085,678
3087,646
3111,632
3121,594
3117,560
3091,544
3085,506
3111,488
3121,454
3113,414
3119,378
3113,314
3115,280
3121,244
3097,206
3083,170
3069,130
3081,88
3113,82
3147,82
3183,84
3211,106
3235,136
3211,174
3195,204
3179,238
3183,276
3177,312
3201,344
3181,378
3177,422
3185,448
3181,484
3183,560
3183,588
3185,632
3201,666
3181,702
3183,738
3181,770
3181,800
3213,804
3243,804
3283,838
3281,870
3247,912
3213,912
3181,912
3183,944
3177,982
3187,1010
3185,1048
3183,1082
3185,1156
3217,1158
3243,1158
3271,1152
3303,1156
3329,1118
3349,1078
3349,1052
3347,1016
3351,978
3361,946
3393,928
3431,910
3455,910
3495,924
3511,958
3507,998
3491,1026
3473,1062
3461,1104
3441,1140
3475,1158
3511,1156
3541,1152
3577,1156
3605,1156
3633,1158
3645,1120
3641,1082
3639,1048
3645,1014
3639,950
3639,912
3625,874
3645,840
3645,798
3647,770
3639,736
3629,694
3643,664
3643,628
3627,594
3645,558
3685,542
3715,558
3723,594
3707,628
3709,662
3705,736
3707,772
3707,804
3711,844
3741,844
3777,860
3773,892
3739,916
3699,910
3707,948
3725,982
3705,1014
3707,1054
3709,1086
3707,1120
3705,1154
3737,1162
3761,1160
3801,1160
3821,1124
3837,1088
3851,1054
3855,1014
3853,984
3867,944
3905,926
3931,946
3953,978
3951,1020
3949,1054
3951,1088
3953,1118
3965,1158
3999,1164
4027,1156
4059,1156
4065,1122
4063,1084
4069,1050
4067,1016
4067,982
4049,944
4105,908
4153,942
4131,980
4133,1012
4131,1054
4131,1092
4131,1120
4133,1156
4169,1162
4199,1140
4211,1104
4245,1072
4287,1038
4325,1032
4341,1068
4341,1122
4327,1160
4295,1170
4265,1192
4233,1208
4199,1218
4161,1260
4169,1298
4195,1296
4219,1296
4257,1298
4281,1254
4311,1262
4331,1292
4361,1296
4393,1296
4431,1274
4453,1296
4493,1296
4525,1296
4551,1298
4581,1300
4613,1302
4627,1258
4645,1224
4669,1226
4705,1232
4723,1262
4731,1296
4753,1296
4785,1298
4819,1276
4853,1298
4881,1302
4911,1294
4943,1298
4953,1270
4983,1248
5011,1258
5023,1294
5053,1292
5077,1294
5111,1278
5155,1298
5161,1322
5149,1368
5119,1390
5077,1366
5051,1368
5019,1366
5023,1394
4999,1418
4959,1408
4945,1362
4919,1366
4889,1362
4859,1364
4819,1384
4783,1366
4755,1366
4725,1366
4721,1404
4699,1440
4665,1438
4645,1436
4629,1400
4611,1360
4569,1366
4543,1366
4513,1370
4487,1366
4465,1366
4429,1386
4389,1368
4361,1368
4331,1368
4303,1404
4277,1402
4259,1362
4231,1362
4195,1366
4167,1374
4035,1364
3975,1366
3925,1366
3855,1366
3793,1368
3733,1362
3675,1368
3609,1366
3557,1370
3489,1366
3427,1374
3367,1360
3307,1364
3245,1368
3169,1368
3181,1408
3179,1434
3183,1466
3179,1500
3183,1540
3189,1578
3221,1580
3239,1576
3261,1584
3301,1580
3325,1576
3371,1580
3419,1576
3445,1576
3473,1578
3539,1578
3575,1578
3603,1586
3641,1582
3675,1576
3707,1552
3735,1570
3755,1610
3739,1652
3705,1672
3671,1650
3643,1646
3613,1648
3579,1654
3545,1652
3531,1678
3503,1686
3475,1650
3455,1650
3413,1654
3381,1652
3347,1662
3329,1678
3287,1728
3259,1722
3237,1722
3195,1728
